"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"131",20164,382,255,27,409,282,2022-04-26
"132",19350,385,259,22,407,281,2022-04-26
"133",19947,288,229,48,336,277,2022-04-26
"134",17302,304,213,55,359,268,2022-04-26
"135",17360,306,253,14,320,267,2022-04-26
"136",17404,310,245,19,329,264,2022-04-26
"137",19930,364,243,16,380,259,2022-04-26
"138",19348,297,235,22,319,257,2022-04-26
"139",20175,359,232,25,384,257,2022-04-26
"140",17408,291,228,23,314,251,2022-04-26
"141",23415,303,222,28,331,250,2022-04-26
"142",19904,291,213,26,317,239,2022-04-26
"143",22554,360,223,16,376,239,2022-04-26
"144",15558,336,228,10,346,238,2022-04-26
"145",20121,311,216,18,329,234,2022-04-26
"146",22308,362,214,18,380,232,2022-04-26
"147",22124,327,212,19,346,231,2022-04-26
"148",17362,246,204,24,270,228,2022-04-26
"149",19707,295,219,8,303,227,2022-04-26
"150",20152,321,209,18,339,227,2022-04-26
"151",19901,265,189,34,299,223,2022-04-26
"152",22307,370,208,14,384,222,2022-04-26
"153",22443,256,199,21,277,220,2022-04-26
"154",19390,246,196,23,269,219,2022-04-26
"155",19952,235,181,35,270,216,2022-04-26
"156",22181,298,209,7,305,216,2022-04-26
"157",22151,298,196,15,313,211,2022-04-26
"158",22044,295,194,16,311,210,2022-04-26
"159",15522,238,183,21,259,204,2022-04-26
"160",25438,229,168,28,257,196,2022-04-26
"161",17329,210,173,19,229,192,2022-04-26
"162",19362,234,165,27,261,192,2022-04-26
"163",19382,242,183,8,250,191,2022-04-26
"164",22039,236,167,22,258,189,2022-04-26
"165",19977,242,168,20,262,188,2022-04-26
"166",20111,251,168,16,267,184,2022-04-26
"167",17222,184,146,36,220,182,2022-04-26
"168",20109,237,163,18,255,181,2022-04-26
"169",19805,226,162,17,243,179,2022-04-26
"170",20105,240,151,23,263,174,2022-04-26
"171",25428,211,152,22,233,174,2022-04-26
"172",20110,240,162,11,251,173,2022-04-26
"173",25430,214,152,20,234,172,2022-04-26
"174",17350,186,154,16,202,170,2022-04-26
"175",26508,195,167,3,198,170,2022-04-26
"176",19950,157,119,48,205,167,2022-04-26
"177",20155,218,152,13,231,165,2022-04-26
"178",20151,202,138,26,228,164,2022-04-26
"179",19734,191,146,16,207,162,2022-04-26
"180",17322,165,132,26,191,158,2022-04-26
"181",19335,178,140,15,193,155,2022-04-26
"182",26505,186,147,7,193,154,2022-04-26
"183",20194,226,133,19,245,152,2022-04-26
"184",19803,188,139,11,199,150,2022-04-26
"185",19967,217,141,8,225,149,2022-04-26
"186",17603,176,134,14,190,148,2022-04-26
"187",19963,184,135,13,197,148,2022-04-26
"188",19380,202,139,8,210,147,2022-04-26
"189",19968,182,129,18,200,147,2022-04-26
"190",20004,188,134,13,201,147,2022-04-26
"191",17313,158,129,15,173,144,2022-04-26
"192",22407,232,134,10,242,144,2022-04-26
"193",17406,166,131,12,178,143,2022-04-26
