"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"540",21556,21,20,4,25,24,2022-04-26
"541",21775,28,21,3,31,24,2022-04-26
"542",20891,23,20,3,26,23,2022-04-26
"543",20661,25,21,1,26,22,2022-04-26
"544",20911,19,19,2,21,21,2022-04-26
"545",20918,26,20,1,27,21,2022-04-26
"546",20813,39,19,1,40,20,2022-04-26
"547",20873,25,16,4,29,20,2022-04-26
"548",20786,25,17,2,27,19,2022-04-26
"549",21088,22,18,1,23,19,2022-04-26
"550",21627,16,16,2,18,18,2022-04-26
"551",21609,18,15,3,21,18,2022-04-26
"552",21503,16,14,3,19,17,2022-04-26
"553",21504,16,15,1,17,16,2022-04-26
"554",21866,7,5,11,18,16,2022-04-26
"555",20588,14,13,2,16,15,2022-04-26
"556",20643,15,14,1,16,15,2022-04-26
"557",20889,16,14,1,17,15,2022-04-26
"558",21281,14,11,3,17,14,2022-04-26
"559",21759,13,13,1,14,14,2022-04-26
"560",21836,16,13,1,17,14,2022-04-26
"561",20789,16,9,4,20,13,2022-04-26
"562",20635,14,11,2,16,13,2022-04-26
"563",20790,13,11,1,14,12,2022-04-26
"564",20799,16,10,2,18,12,2022-04-26
"565",21528,12,11,1,13,12,2022-04-26
"566",20870,14,9,1,15,10,2022-04-26
"567",21260,10,8,2,12,10,2022-04-26
"568",21232,9,9,1,10,10,2022-04-26
"569",21298,15,9,1,16,10,2022-04-26
"570",20811,10,8,1,11,9,2022-04-26
"571",20825,14,7,2,16,9,2022-04-26
"572",21412,15,7,2,17,9,2022-04-26
"573",20806,9,7,1,10,8,2022-04-26
"574",20682,6,6,2,8,8,2022-04-26
"575",21670,5,4,4,9,8,2022-04-26
"576",21126,7,6,1,8,7,2022-04-26
"577",20672,5,5,1,6,6,2022-04-26
"578",20795,6,5,1,7,6,2022-04-26
"579",21288,9,4,2,11,6,2022-04-26
"580",21112,5,4,2,7,6,2022-04-26
"581",21176,5,5,1,6,6,2022-04-26
"582",21270,6,5,1,7,6,2022-04-26
"583",20801,5,4,1,6,5,2022-04-26
"584",20780,6,4,1,7,5,2022-04-26
"585",20845,7,3,2,9,5,2022-04-26
"586",21125,1,1,4,5,5,2022-04-26
"587",21200,3,3,2,5,5,2022-04-26
"588",21115,4,4,1,5,5,2022-04-26
"589",21683,4,4,1,5,5,2022-04-26
"590",21743,4,4,1,5,5,2022-04-26
"591",20700,2,2,2,4,4,2022-04-26
"592",21134,5,3,1,6,4,2022-04-26
"593",21789,3,3,1,4,4,2022-04-26
"594",20766,2,2,1,3,3,2022-04-26
"595",20649,1,1,2,3,3,2022-04-26
"596",20819,5,2,1,6,3,2022-04-26
"597",20697,4,1,2,6,3,2022-04-26
"598",20881,2,2,1,3,3,2022-04-26
"599",21072,2,2,1,3,3,2022-04-26
"600",21261,2,2,1,3,3,2022-04-26
"601",21732,2,2,1,3,3,2022-04-26
"602",21646,2,2,1,3,3,2022-04-26
"603",21744,4,2,1,5,3,2022-04-26
"604",20655,1,1,1,2,2,2022-04-26
"605",20858,3,1,1,4,2,2022-04-26
"606",20730,1,1,1,2,2,2022-04-26
"607",21257,1,1,1,2,2,2022-04-26
"608",21273,1,1,1,2,2,2022-04-26
"609",21407,2,1,1,3,2,2022-04-26
"610",21019,1,1,1,2,2,2022-04-26
"611",21276,1,1,1,2,2,2022-04-26
"612",21159,1,1,1,2,2,2022-04-26
"613",21098,1,1,1,2,2,2022-04-26
"614",21265,1,1,1,2,2,2022-04-26
"615",21400,1,1,1,2,2,2022-04-26
"616",21656,1,1,1,2,2,2022-04-26
"617",21708,2,1,1,3,2,2022-04-26
"618",21870,1,1,1,2,2,2022-04-26
"619",21799,2,1,1,3,2,2022-04-26
