"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","todaysdate"
"114",21409,15372,14143,868,16240,15011,2022-04-26
"115",21001,14661,13293,1651,16312,14944,2022-04-26
"116",20905,15295,13814,712,16007,14526,2022-04-26
"117",21204,15025,13579,938,15963,14517,2022-04-26
"118",21202,15865,13048,1021,16886,14069,2022-04-26
"119",21216,14712,13148,919,15631,14067,2022-04-26
"120",20745,15780,13353,681,16461,14034,2022-04-26
"121",21108,14073,13051,885,14958,13936,2022-04-26
"122",20653,14527,13014,916,15443,13930,2022-04-26
"123",20746,15127,13025,719,15846,13744,2022-04-26
"124",21040,13527,12242,1399,14926,13641,2022-04-26
"125",20646,14097,12727,838,14935,13565,2022-04-26
"126",21158,13334,12406,1130,14464,13536,2022-04-26
"127",21211,13617,12584,720,14337,13304,2022-04-26
"128",21050,12927,12072,1030,13957,13102,2022-04-26
"129",21214,13262,12256,822,14084,13078,2022-04-26
"130",20855,13330,12062,889,14219,12951,2022-04-26
"131",20659,12896,11970,817,13713,12787,2022-04-26
"132",21078,12411,11317,1373,13784,12690,2022-04-26
"133",20816,13713,11796,777,14490,12573,2022-04-26
"134",21046,12780,11808,687,13467,12495,2022-04-26
"135",20724,12958,11572,822,13780,12394,2022-04-26
"136",20657,12220,11128,1218,13438,12346,2022-04-26
"137",21774,11924,10959,1143,13067,12102,2022-04-26
"138",21231,12924,11431,669,13593,12100,2022-04-26
"139",21128,11628,10892,702,12330,11594,2022-04-26
"140",20866,12206,11028,540,12746,11568,2022-04-26
"141",21029,11883,10933,582,12465,11515,2022-04-26
"142",20851,11984,10826,643,12627,11469,2022-04-26
"143",21201,12239,10668,607,12846,11275,2022-04-26
"144",21085,10675,9961,1057,11732,11018,2022-04-26
"145",20794,12103,10192,674,12777,10866,2022-04-26
"146",20882,10596,9713,992,11588,10705,2022-04-26
"147",20639,10949,9957,626,11575,10583,2022-04-26
"148",21613,10227,9335,1193,11420,10528,2022-04-26
"149",20872,10248,9388,1053,11301,10441,2022-04-26
"150",21054,10754,9839,548,11302,10387,2022-04-26
"151",20650,10512,9592,576,11088,10168,2022-04-26
"152",20613,10730,9531,619,11349,10150,2022-04-26
"153",21223,10755,9311,820,11575,10131,2022-04-26
"154",21074,9400,8766,1270,10670,10036,2022-04-26
"155",21210,10277,9383,418,10695,9801,2022-04-26
"156",21047,9414,8806,782,10196,9588,2022-04-26
"157",21901,9537,8613,848,10385,9461,2022-04-26
"158",20619,9379,8416,563,9942,8979,2022-04-26
"159",21666,8817,8117,722,9539,8839,2022-04-26
"160",20678,8848,8077,503,9351,8580,2022-04-26
"161",20781,9137,7860,613,9750,8473,2022-04-26
"162",21769,8008,7422,938,8946,8360,2022-04-26
"163",20695,8670,7751,427,9097,8178,2022-04-26
"164",21620,8156,7403,720,8876,8123,2022-04-26
"165",21205,8623,7543,529,9152,8072,2022-04-26
"166",21842,8313,7305,740,9053,8045,2022-04-26
"167",20841,7880,7224,666,8546,7890,2022-04-26
"168",21102,6993,6462,1109,8102,7571,2022-04-26
"169",20607,8141,7110,369,8510,7479,2022-04-26
"170",21793,7331,6820,625,7956,7445,2022-04-26
"171",21048,7119,6652,765,7884,7417,2022-04-26
"172",21090,7240,6722,578,7818,7300,2022-04-26
"173",21532,6813,6276,800,7613,7076,2022-04-26
"174",21617,6968,6402,655,7623,7057,2022-04-26
"175",21788,6604,6090,687,7291,6777,2022-04-26
"176",20636,6807,6292,474,7281,6766,2022-04-26
"177",21797,6420,5986,645,7065,6631,2022-04-26
"178",20732,6857,6216,377,7234,6593,2022-04-26
"179",21032,6640,6133,447,7087,6580,2022-04-26
"180",21550,6703,6049,515,7218,6564,2022-04-26
"181",20833,6523,5946,427,6950,6373,2022-04-26
"182",20736,6584,5985,357,6941,6342,2022-04-26
"183",21131,6210,5817,517,6727,6334,2022-04-26
"184",21163,6281,5847,396,6677,6243,2022-04-26
"185",21787,6149,5684,518,6667,6202,2022-04-26
"186",21035,6267,5777,389,6656,6166,2022-04-26
"187",21629,5423,5014,896,6319,5910,2022-04-26
"188",21219,5564,5224,567,6131,5791,2022-04-26
"189",21713,5073,4650,1072,6145,5722,2022-04-26
"190",21770,5459,5051,584,6043,5635,2022-04-26
"191",20837,5501,5030,484,5985,5514,2022-04-26
"192",20759,5768,5223,269,6037,5492,2022-04-26
"193",20710,5959,5051,434,6393,5485,2022-04-26
"194",20769,5572,5027,335,5907,5362,2022-04-26
"195",21754,5137,4779,568,5705,5347,2022-04-26
"196",21795,4862,4447,808,5670,5255,2022-04-26
"197",21911,5183,4706,497,5680,5203,2022-04-26
"198",20640,5444,4808,318,5762,5126,2022-04-26
"199",21084,4890,4563,383,5273,4946,2022-04-26
"200",21120,4752,4426,506,5258,4932,2022-04-26
"201",21783,4445,4133,725,5170,4858,2022-04-26
"202",20754,4919,4499,297,5216,4796,2022-04-26
"203",21853,4740,4302,418,5158,4720,2022-04-26
"204",21619,4708,4279,400,5108,4679,2022-04-26
"205",21104,4596,4318,346,4942,4664,2022-04-26
"206",21152,4422,4093,422,4844,4515,2022-04-26
"207",21716,4389,3952,527,4916,4479,2022-04-26
"208",20711,4536,4140,318,4854,4458,2022-04-26
"209",20712,4958,4113,292,5250,4405,2022-04-26
"210",20634,4415,4016,364,4779,4380,2022-04-26
"211",20616,4521,3999,251,4772,4250,2022-04-26
"212",20685,4239,3887,314,4553,4201,2022-04-26
"213",21851,4035,3691,329,4364,4020,2022-04-26
"214",21017,3970,3627,355,4325,3982,2022-04-26
"215",21087,3848,3633,310,4158,3943,2022-04-26
"216",21111,3827,3549,318,4145,3867,2022-04-26
"217",21755,3697,3436,410,4107,3846,2022-04-26
"218",20722,4159,3542,297,4456,3839,2022-04-26
"219",21226,3668,3317,384,4052,3701,2022-04-26
"220",21776,3559,3321,311,3870,3632,2022-04-26
"221",21013,3538,3320,285,3823,3605,2022-04-26
"222",21154,3469,3187,414,3883,3601,2022-04-26
"223",21875,3658,3308,291,3949,3599,2022-04-26
"224",20637,3719,3381,207,3926,3588,2022-04-26
"225",21904,3506,3187,308,3814,3495,2022-04-26
"226",21773,3239,2981,484,3723,3465,2022-04-26
"227",21162,3407,3193,235,3642,3428,2022-04-26
"228",21638,3390,3095,273,3663,3368,2022-04-26
"229",21710,3326,3059,293,3619,3352,2022-04-26
"230",21746,3595,2962,261,3856,3223,2022-04-26
"231",21161,3045,2810,318,3363,3128,2022-04-26
"232",21643,2739,2514,603,3342,3117,2022-04-26
"233",21057,3040,2839,241,3281,3080,2022-04-26
"234",21826,3012,2747,285,3297,3032,2022-04-26
"235",20622,3093,2858,169,3262,3027,2022-04-26
"236",21903,3088,2766,253,3341,3019,2022-04-26
"237",21632,2583,2383,614,3197,2997,2022-04-26
"238",21863,2936,2674,252,3188,2926,2022-04-26
"239",20777,2970,2743,160,3130,2903,2022-04-26
"240",21758,2757,2525,374,3131,2899,2022-04-26
"241",21791,2825,2627,264,3089,2891,2022-04-26
"242",20714,2872,2577,169,3041,2746,2022-04-26
"243",21738,2711,2514,223,2934,2737,2022-04-26
"244",21655,2461,2273,447,2908,2720,2022-04-26
"245",20764,2698,2495,174,2872,2669,2022-04-26
"246",21140,2682,2469,185,2867,2654,2022-04-26
"247",21658,2596,2368,282,2878,2650,2022-04-26
"248",21722,2349,2190,380,2729,2570,2022-04-26
"249",21817,2181,2002,363,2544,2365,2022-04-26
"250",21663,2202,2017,343,2545,2360,2022-04-26
"251",21830,2273,2101,240,2513,2341,2022-04-26
"252",21639,1961,1816,510,2471,2326,2022-04-26
"253",20676,2375,2154,161,2536,2315,2022-04-26
"254",21660,2016,1867,436,2452,2303,2022-04-26
"255",21727,2315,2000,293,2608,2293,2022-04-26
"256",20755,2618,2065,220,2838,2285,2022-04-26
"257",20776,2267,2087,137,2404,2224,2022-04-26
"258",20861,2342,2105,116,2458,2221,2022-04-26
"259",20688,2271,1991,166,2437,2157,2022-04-26
"260",21028,2127,1976,140,2267,2116,2022-04-26
"261",21794,2081,1926,170,2251,2096,2022-04-26
"262",21756,1809,1679,394,2203,2073,2022-04-26
"263",21782,1775,1597,424,2199,2021,2022-04-26
"264",21918,1931,1766,232,2163,1998,2022-04-26
"265",21673,1885,1739,257,2142,1996,2022-04-26
"266",20623,2035,1862,78,2113,1940,2022-04-26
"267",20763,1962,1793,137,2099,1930,2022-04-26
"268",20733,1905,1741,134,2039,1875,2022-04-26
"269",21034,1808,1661,212,2020,1873,2022-04-26
"270",21890,2211,1835,17,2228,1852,2022-04-26
"271",21036,1846,1718,131,1977,1849,2022-04-26
"272",21053,1744,1621,190,1934,1811,2022-04-26
"273",21737,1811,1684,112,1923,1796,2022-04-26
"274",20860,1861,1671,79,1940,1750,2022-04-26
"275",21915,1705,1534,111,1816,1645,2022-04-26
"276",21661,1660,1518,123,1783,1641,2022-04-26
"277",20664,1667,1516,121,1788,1637,2022-04-26
"278",21849,1577,1465,160,1737,1625,2022-04-26
"279",20677,1636,1501,104,1740,1605,2022-04-26
"280",21536,1625,1449,154,1779,1603,2022-04-26
"281",21155,1509,1398,204,1713,1602,2022-04-26
"282",21813,1623,1470,132,1755,1602,2022-04-26
"283",21822,1503,1408,171,1674,1579,2022-04-26
"284",21919,1560,1427,106,1666,1533,2022-04-26
"285",20751,1565,1417,106,1671,1523,2022-04-26
"286",21850,1466,1341,174,1640,1515,2022-04-26
"287",21631,1363,1275,211,1574,1486,2022-04-26
"288",21132,1453,1361,113,1566,1474,2022-04-26
"289",21757,1428,1332,131,1559,1463,2022-04-26
"290",21798,1400,1293,165,1565,1458,2022-04-26
"291",21651,1412,1306,129,1541,1435,2022-04-26
"292",21678,1419,1302,129,1548,1431,2022-04-26
